time_hr,pressure_psi,rate_bpd
0.00,8420,0
0.08,8410,0
0.25,8380,0
1.00,8200,280
1.50,8120,320
2.00,8050,350
2.50,7980,360
3.00,7920,370
3.50,7860,380
4.00,7800,385
4.25,7780,0
4.30,7775,0
4.40,7785,0
4.55,7810,0
4.75,7850,0
5.00,7900,0
5.30,7980,0
5.70,8080,0
6.20,8200,0
6.80,8350,0
7.50,8520,0
8.30,8720,0
9.20,8950,0
10.20,9200,0
11.50,9480,0
13.00,9780,0
15.00,10100,0
15.50,10120,420
16.00,10080,450
16.50,10020,460
17.00,9950,470
17.50,9880,480
18.00,9800,485
18.25,9760,0
18.35,9755,0
18.50,9770,0
18.75,9810,0
19.00,9860,0
19.50,9960,0
20.00,10080,0
20.75,10280,0
21.75,10550,0
23.00,10880,0
25.00,11300,0
